ctx,keep,total,kept,draft_ms,pref_ms,tps,ttft_ms,pass,recv
16384,1.0,10895,10895,0,13473.159,809,13474.433,1,0
20480,1.0,13578,13578,0,17003.55,799,17004.776,1,0
25600,1.0,16880,16880,0,21359.363,790,21360.539,1,0
32768,1.0,21565,21565,0,28469.808,757,28470.878,1,0
51200,1.0,33831,33831,0,49448.569,684,49449.636,1,0
65536,1.0,43310,43310,0,68324.528,634,68325.847,1,0
102400,1.0,67526,67526,0,126013.379,536,126015.345,1,0
16384,0.65,10895,7168,4523.954,8573.394,1271,8574.582,1,1
16384,0.70,10895,7680,4125.227,9421.892,1156,9423.073,1,1
16384,0.75,10895,8192,4097.777,9844.469,1107,9845.68,1,1
16384,0.80,10895,8832,4310.673,10704.826,1018,10705.888,1,1
16384,0.85,10895,9344,4092.613,11564.735,942,11565.796,1,1
20480,0.65,13578,8832,5121.12,10531.442,1289,10532.501,0,0
20480,0.70,13578,9600,5096.793,11490.118,1182,11491.319,0,0
20480,0.75,13578,10240,5081.291,12310.228,1103,12311.443,0,0
20480,0.80,13578,10890,5074.643,13239.621,1026,13240.774,0,0
20480,0.85,13578,11658,5106.486,14291.517,950,14292.723,1,1
25600,0.65,16880,10992,6278.51,13504.819,1250,13505.982,1,1
25600,0.70,16880,11888,6326.019,14733.342,1146,14734.432,1,1
25600,0.75,16880,12784,6288.167,15930.028,1060,15931.225,1,1
25600,0.80,16880,13552,6245.742,17015.481,992,17016.613,1,1
25600,0.85,16880,14448,6245.709,18277.479,924,18278.586,1,1
32768,0.65,21565,14141,8086.106,17845.142,1208,17846.303,1,1
32768,0.70,21565,15165,8108.209,19282.282,1118,19283.63,1,1
32768,0.75,21565,16189,8116.026,20748.783,1039,20750.0,1,1
32768,0.80,21565,17341,8129.148,22376.45,964,22377.613,1,1
32768,0.85,21565,18365,8099.719,23889.374,903,23890.542,1,1
51200,0.65,33831,22055,12914.675,29634.321,1142,29635.43,1,1
51200,0.70,33831,23719,12845.076,32296.624,1048,32297.786,1,1
51200,0.75,33831,25383,12884.028,35026.413,966,35027.649,1,1
51200,0.80,33831,27175,12856.44,38051.304,889,38052.436,1,1
51200,0.85,33831,28839,12906.937,40900.17,827,40901.324,1,1
65536,0.65,43310,28206,16594.859,39818.235,1088,39819.364,1,1
65536,0.70,43310,30382,16549.052,43619.401,993,43620.57,1,1
65536,0.75,43310,32558,16636.824,47554.487,911,47555.793,1,1
65536,0.80,43310,34734,16654.398,51566.28,840,51567.449,1,1
65536,0.85,43310,36910,16551.967,55754.789,777,55755.852,1,1
102400,0.65,67526,43974,26672.821,69946.565,965,69947.77,1,1
102400,0.70,67526,47302,26762.468,77062.793,876,77063.955,1,1
102400,0.75,67526,50758,26677.761,84783.537,796,84784.636,1,1
102400,0.80,67526,54086,26728.613,92399.727,731,92400.914,1,1
102400,0.85,67526,57414,26791.965,100312.813,673,100313.977,1,1
